state,capital,area_km2,population_total,population_male,population_female,density_per_km2,female_ratio
Schleswig-Holstein,,15804.31,2965691.0,1451443.0,1514248.0,188.0,51.06
Hamburg,,755.09,1910160.0,936740.0,973420.0,2530.0,50.96
Niedersachsen,,47709.9,8161981.0,4026230.0,4135751.0,171.0,50.67
Bremen,,419.61,691703.0,341986.0,349717.0,1648.0,50.56
Nordrhein-Westfalen,,34112.65,18190422.0,8930892.0,9259530.0,533.0,50.9
Hessen,,21115.64,6420729.0,3170839.0,3249890.0,304.0,50.62
Rheinland-Pfalz,,19857.96,4174311.0,2066181.0,2108130.0,210.0,50.5
Baden-Württemberg,,35747.85,11339260.0,5633643.0,5705617.0,317.0,50.32
Bayern,,70541.77,13435062.0,6664456.0,6770606.0,190.0,50.4
Saarland,,2572.01,994424.0,489045.0,505379.0,387.0,50.82
Berlin,,891.12,3782202.0,1860115.0,1922087.0,4244.0,50.82
Brandenburg,,29654.36,2581667.0,1271103.0,1310564.0,87.0,50.76
Mecklenburg-Vorpommern,,23294.83,1629464.0,801048.0,828416.0,70.0,50.84
Sachsen,,18449.86,4089467.0,2015937.0,2073530.0,222.0,50.7
Sachsen-Anhalt,,20554.84,2180448.0,1072906.0,1107542.0,106.0,50.79
Thüringen,,16202.39,2122335.0,1050971.0,1071364.0,131.0,50.48
